,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
52,-151585.9,-117930.4,-80852.34,-47229.58,-114165.9,-103054.6,-90659.33,-159109.3,0.21746599999999996
53,-153497.8,-120974.1,-90920.05,-58681.63,-124148.2,-105617.0,-93493.45,-160416.7,0.21942299999999995
54,-155323.8,-123385.6,-100222.5,-68912.24,-133830.5,-108365.0,-96281.71,-161756.2,0.22801099999999994
55,-155629.4,-124756.7,-110455.4,-80084.19,-141646.5,-110101.3,-99801.67,-161462.7,0.23247099999999996
56,-155338.0,-126294.3,-120560.3,-91591.22,-148309.6,-111065.7,-103138.1,-160430.3,0.23247699999999993
57,-156183.7,-128649.1,-128382.1,-100909.7,-155709.2,-112299.1,-104823.4,-160654.9,0.23800999999999994
58,-157425.3,-130405.9,-134794.8,-108301.9,-163398.4,-113955.2,-105824.6,-161515.9,0.24700599999999995
59,-157127.7,-130667.9,-142412.1,-116620.3,-169326.3,-115249.1,-108282.3,-160810.2,0.2500449999999999
60,-155837.4,-131005.2,-150737.3,-126096.3,-173714.4,-115761.8,-111404.1,-158876.8,0.25005199999999994
61,-155675.7,-132629.3,-156895.8,-133766.5,-178791.6,-116024.5,-112515.8,-158086.2,0.2580079999999999
62,-156373.2,-133951.5,-161024.7,-138967.6,-184679.6,-116670.3,-112130.5,-158450.2,0.2624699999999999
63,-155726.6,-133483.3,-166231.2,-144736.4,-189132.7,-117472.4,-113377.4,-157548.6,0.2624749999999999
64,-153742.3,-132781.7,-172860.7,-152248.9,-191756.6,-117700.9,-116167.2,-155040.8,0.2744319999999999
65,-152675.9,-133632.6,-177768.0,-158589.3,-194820.3,-117311.9,-117083.8,-153349.9,0.2774679999999999
66,-152827.6,-134625.5,-180189.0,-162172.6,-199061.9,-117086.4,-115756.1,-153171.7,0.2774739999999999
67,-151985.9,-133743.9,-183271.9,-165766.7,-202330.1,-117352.3,-115785.8,-152186.9,0.2794199999999999
68,-149584.0,-132220.4,-188258.9,-171390.9,-203632.6,-117373.5,-118075.1,-149399.3,0.2830099999999999
69,-147763.2,-132287.0,-192167.0,-176578.1,-205010.6,-116594.3,-119003.8,-146991.2,0.2900549999999999
70,-147368.4,-132968.9,-193372.4,-179001.8,-207743.8,-115676.2,-117163.7,-146252.8,0.29006099999999985
71,-146406.1,-131898.9,-194668.0,-180823.4,-210011.4,-115388.3,-116093.9,-145217.8,0.29800899999999986
72,-143805.9,-129786.0,-198068.5,-184664.2,-210344.8,-115209.6,-117710.4,-142369.8,0.3024709999999998
73,-141393.8,-129099.9,-201100.1,-188773.9,-210362.4,-114222.9,-118692.5,-139441.3,0.30247699999999983
74,-140454.2,-129444.0,-201474.3,-190371.3,-211730.1,-112798.6,-116686.9,-138147.3,0.3320079999999998
75,-139386.3,-128330.9,-201345.3,-190820.9,-213112.0,-111977.4,-114724.5,-137040.0,0.3350389999999998
76,-136758.2,-125862.8,-203257.2,-193036.2,-212745.3,-111579.4,-115554.4,-134279.9,0.3350429999999998
77,-133945.7,-124508.4,-205462.2,-196098.7,-211716.2,-110506.3,-116533.7,-131032.2,0.33700599999999986
78,-132507.0,-124474.8,-205282.3,-197090.0,-211880.4,-108757.6,-114616.9,-129225.5,0.33941899999999986
79,-131325.2,-123385.9,-204084.7,-196534.4,-212451.4,-107461.3,-112022.8,-128001.7,0.3470069999999999
80,-128779.1,-120762.2,-204650.8,-197327.2,-211573.2,-106814.6,-112027.0,-125414.4,0.3494229999999999
81,-125737.8,-118857.8,-206041.4,-199362.0,-209779.8,-105721.2,-112888.9,-122037.6,0.3544249999999999
82,-123855.7,-118416.1,-205485.9,-199876.4,-208922.9,-103814.1,-111209.6,-119801.0,0.35700399999999993
83,-122520.0,-117362.1,-203546.4,-198631.8,-208746.1,-102136.9,-108254.3,-118413.9,0.3594269999999999
84,-120099.2,-114739.5,-202953.6,-198240.2,-207480.2,-101222.5,-107475.2,-116021.4,0.3619999999999999
85,-116979.5,-112427.9,-203537.0,-199281.0,-205160.8,-100125.0,-108096.2,-112667.4,0.3644189999999999
86,-114750.4,-111573.1,-202699.3,-199374.6,-203472.9,-98181.73,-106711.3,-110107.2,0.36700399999999983
87,-113251.6,-110530.0,-200288.0,-197684.7,-202608.7,-96228.7,-103642.7,-108529.3,0.37504299999999985
88,-110980.5,-108019.8,-198749.5,-196357.9,-201028.2,-95044.68,-102189.3,-106321.0,0.3750489999999998
89,-107906.4,-105452.0,-198551.2,-196468.1,-198373.5,-93932.88,-102463.4,-103106.9,0.37699199999999977
90,-105429.4,-104209.2,-197468.5,-196157.9,-196048.0,-92039.52,-101353.2,-100345.7,0.38299499999999975
91,-103754.2,-103134.1,-194796.7,-194200.7,-194571.9,-89920.92,-98369.09,-98574.67,0.38603899999999974
92,-101614.1,-100794.1,-192536.9,-192182.7,-192719.8,-88485.91,-96393.09,-96513.88,0.38604499999999975
93,-98670.79,-98108.13,-191609.3,-191457.3,-189870.0,-87332.68,-96249.03,-93508.79,0.38799799999999973
94,-96054.49,-96529.71,-190281.4,-190739.4,-187086.5,-85535.17,-95335.88,-90659.57,0.3904169999999997
95,-94217.24,-95378.54,-187494.9,-188627.0,-185085.1,-83351.59,-92563.2,-88709.65,0.39346099999999967
96,-92181.36,-93225.87,-184730.8,-186139.0,-182988.8,-81707.11,-90232.52,-86748.45,0.39346599999999965
97,-89418.15,-90536.96,-183161.1,-184704.8,-180044.0,-80488.25,-89650.89,-83986.04,0.40700099999999967
98,-86758.38,-88693.3,-181579.7,-183581.1,-176967.0,-78802.67,-88844.24,-81156.97,0.41345399999999966
99,-84787.33,-87434.54,-178769.4,-181376.2,-174541.0,-76638.2,-86361.57,-79075.93,0.4134589999999997
100,-82826.08,-85463.07,-175691.4,-178601.1,-172221.3,-74841.26,-83854.82,-77182.38,0.41799799999999965
101,-80265.44,-82867.63,-173585.2,-176596.0,-169240.0,-73543.02,-82868.9,-74670.06,0.4204199999999997
102,-77646.52,-80850.56,-171739.9,-175076.7,-166002.3,-71968.21,-82076.2,-71944.03,0.4229989999999997
103,-75585.57,-79476.28,-168950.5,-172804.2,-163256.8,-69890.68,-79898.59,-69781.63,0.4274569999999997
104,-73675.32,-77659.9,-165718.0,-169886.2,-160740.3,-68007.63,-77360.65,-67919.59,0.42746199999999973
105,-71319.58,-75217.93,-163199.8,-167458.0,-157758.1,-66627.43,-76032.15,-65633.16,0.4434559999999997
106,-68811.28,-73113.51,-161096.6,-165575.3,-154465.8,-65144.29,-75175.57,-63067.28,0.44346199999999963
107,-66716.13,-71627.27,-158341.3,-163239.0,-151506.2,-63191.53,-73278.09,-60884.7,0.44602599999999964
108,-64845.25,-69927.85,-155075.0,-160279.7,-148827.5,-61284.0,-70825.75,-59043.89,0.4460289999999997
109,-62679.72,-67668.97,-152272.5,-157569.3,-145863.4,-59833.63,-69246.64,-56959.1,0.4484519999999997
110,-60323.34,-65555.24,-149936.3,-155375.0,-142594.9,-58422.9,-68279.39,-54593.12,0.44845499999999966
111,-58240.66,-63977.89,-147210.7,-152970.0,-139519.0,-56616.41,-66611.83,-52452.02,0.46199599999999963
112,-56397.9,-62358.02,-143992.1,-150032.8,-136719.1,-54739.68,-64319.34,-50633.5,0.46710299999999966
113,-54392.04,-60285.11,-141023.2,-147162.3,-133780.8,-53238.34,-62583.35,-48714.32,0.46710899999999966
114,-52206.85,-58225.45,-138493.8,-144721.0,-130586.3,-51879.16,-61485.03,-46558.29,0.46711099999999967
115,-50187.22,-56596.17,-135787.9,-142245.1,-127479.9,-50227.2,-59992.71,-44511.46,0.47002299999999964
116,-48390.39,-55040.24,-132669.5,-139368.1,-124609.8,-48436.76,-57912.0,-42736.71,0.4700259999999996
117,-46535.32,-53156.83,-129643.8,-136444.3,-121709.2,-46924.43,-56126.86,-40966.33,0.5081179999999996
