,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,54271.61,26678.8,-44407.91,-55740.57,61526.19,61526.19,-24868.54,59503.38,0.0
1,207086.5,95699.19,-156351.7,-215734.1,244614.7,243454.8,-118332.9,226895.6,0.024612
2,379867.9,161485.0,-222154.4,-368973.4,471058.2,459155.5,-279232.6,412919.9,0.027031
3,496471.7,194896.3,-131611.2,-376676.2,643291.6,580274.4,-460314.4,527260.4,0.029599
4,545141.3,206343.4,91684.92,-233241.4,729156.8,510608.0,-608748.4,561526.6,0.032015
5,543243.6,207262.4,346082.2,-22505.09,726762.7,290512.9,-660682.8,550800.2,0.038017
6,527113.9,225660.4,534968.3,154529.5,678132.2,153135.8,-504029.6,550624.1,0.044602
7,492841.2,305441.8,624904.8,250604.4,635703.4,219196.6,-111314.5,579988.4,0.047021
8,451281.8,439924.9,648480.4,312007.0,608955.2,397443.2,344559.3,611800.1,0.049605
9,445698.6,562693.0,659319.3,410997.9,576464.9,561394.9,692449.9,609966.1,0.052155
10,470588.0,635201.4,671670.6,545736.3,537400.3,632847.9,872438.0,576605.1,0.054599
11,511639.2,659419.8,658624.8,653086.3,512374.9,619273.1,890945.8,547334.2,0.057015
12,552608.6,643373.8,617291.9,695304.1,501995.0,587504.3,825630.6,533823.0,0.073646
13,553171.3,604785.1,583315.7,696545.5,484488.6,566473.8,765524.8,513585.9,0.073652
14,511610.3,567478.7,570743.3,688840.5,454424.3,521011.9,728430.1,475036.8,0.07605500000000001
15,464091.7,533179.9,553757.8,667218.8,429668.7,430799.9,674490.8,428427.4,0.076058
16,416927.7,479117.3,518655.4,624810.6,416997.8,330379.9,588722.8,374078.0,0.078013
17,341284.4,396666.4,487446.2,583419.0,401355.0,248212.7,500454.0,296815.4,0.080601
18,234557.2,303290.3,474844.7,562088.2,375077.7,170925.2,421729.2,197787.5,0.085593
19,139922.0,219638.5,462500.1,547365.1,350800.2,90381.55,336766.0,108118.8,0.088012
20,88142.55,154567.7,434617.4,520498.2,336949.5,31260.79,253703.6,53036.84,0.094595
21,59296.69,108067.5,405302.8,489545.9,323435.1,9181.148,203202.4,22237.78,0.097641
22,27558.72,78938.52,390214.0,470621.4,301616.9,2114.938,186831.0,-4300.664,0.097646
23,1930.074,62912.48,378882.6,457793.3,279253.8,-14144.39,172644.7,-25600.96,0.108016
24,-3773.243,50731.74,356290.8,435828.1,264796.8,-32547.23,145657.2,-33877.76,0.113635
25,-4645.18,36168.96,329728.2,407860.3,252534.5,-37940.84,123657.3,-37547.29,0.113641
26,-19988.27,21101.18,313181.0,387549.2,234475.0,-38415.44,116595.6,-49541.92,0.115589
