,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,47902.34,-39454.71,-51936.66,61526.19,61526.19,-784.366,38631.11,0.0
1,244614.7,188919.5,-152748.4,-210121.2,244614.7,244614.7,-30731.53,150233.0,0.013032
2,471058.2,353890.3,-247654.4,-384124.2,471058.2,471058.2,-117619.8,289821.9,0.015442
3,643291.6,454131.5,-198638.2,-428618.1,643291.6,643291.6,-205885.8,407823.2,0.024024999999999998
4,729156.8,468184.3,4622.07,-303117.5,729156.8,729156.8,-180435.5,489054.2,0.026437
5,726762.7,436019.9,277115.6,-76689.48,726762.7,726762.7,18973.02,540534.0,0.029015999999999997
6,678132.2,435339.3,509091.7,131746.0,678132.2,678132.2,321321.5,582789.9,0.038027
7,635703.4,495281.7,635841.7,249729.4,635703.4,635703.4,591104.3,619614.4,0.04707
8,608955.2,573656.4,672347.1,309817.5,608955.2,608955.2,741685.0,639016.3,0.047076
9,576464.9,615826.9,676516.6,388724.7,576464.9,576464.9,768539.6,628093.5,0.049021
10,537400.3,608055.4,679819.1,510708.5,537400.3,526163.6,731050.9,594575.9,0.051436
11,507606.6,580714.8,666662.6,628591.3,512374.9,458687.4,689662.7,563153.2,0.063023
12,474124.0,559362.6,628384.7,690323.4,501995.0,373616.8,647131.3,539244.2,0.066056
13,405725.7,526266.2,591817.1,702950.4,484488.6,267118.3,573352.3,497309.0,0.06606000000000001
14,303768.6,454334.1,574823.8,698386.4,454424.3,153366.4,470800.6,419471.3,0.068013
15,201572.1,356295.8,559328.1,679577.1,429668.7,64761.34,369138.1,321768.8,0.07044000000000002
16,120198.7,260625.8,528509.3,640300.6,416997.8,11038.15,277530.3,225546.8,0.07901500000000002
17,52537.94,172808.0,496621.8,597651.3,401355.0,-30344.21,188223.7,135354.3,0.08357200000000002
18,-9645.649,89718.34,480063.8,572020.8,375077.7,-73893.65,108468.8,54276.64,0.08357800000000001
19,-57083.12,22341.36,467652.2,556040.6,350800.2,-106462.9,55262.13,-6539.887,0.08543600000000003
20,-81653.62,-17302.68,443040.3,531343.3,336949.5,-117865.7,26707.77,-42276.12,0.09901800000000002
