,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,36098.06,-43807.15,-54966.03,61526.19,61526.19,-12570.68,33168.91,0.0
1,244614.7,139383.3,-160183.7,-217681.0,244614.7,244614.7,-86103.85,127997.4,0.012617000000000001
2,471058.2,255540.1,-241634.9,-386495.6,471058.2,471058.2,-247546.4,240627.7,0.020609000000000002
3,643291.6,324247.4,-168651.3,-414762.2,643291.6,643291.6,-442396.7,328552.1,0.025610000000000004
4,729156.8,337625.9,49302.17,-273560.6,729156.8,729156.8,-590670.1,394244.3,0.028019000000000002
5,726762.7,328846.7,314807.8,-43426.16,726762.7,726762.7,-559426.5,458121.5,0.030606
6,678132.2,359985.4,523222.1,156199.0,678132.2,678132.2,-249376.0,533469.6,0.03302
7,635703.4,452396.6,628025.4,263804.5,635703.4,635703.4,204387.7,605696.6,0.035608
8,608955.2,559572.8,656176.1,319898.7,608955.2,608955.2,589556.6,649193.6,0.04660700000000001
9,576464.9,625087.4,664937.5,402274.4,576464.9,576464.9,810613.9,648131.9,0.05864800000000001
10,537400.3,634937.1,675388.9,527296.1,537400.3,537400.3,867067.8,615036.1,0.05865400000000001
11,512374.9,614500.3,663588.5,639817.6,512374.9,508823.2,824363.2,581525.6,0.060607000000000015
12,501685.3,589719.1,623621.3,691891.3,501995.0,478425.0,764196.6,559277.9,0.06303100000000002
13,474254.7,560943.5,588309.8,698313.5,484488.6,412561.3,712685.5,531227.1,0.06802100000000001
14,409122.3,513135.6,574077.3,692481.6,454424.3,310767.9,641344.3,479880.7,0.07059700000000001
15,323252.2,441557.7,557918.3,673460.9,429668.7,206641.5,539682.5,407706.5,0.07301800000000001
16,236234.6,356838.3,524284.5,633032.0,416997.8,122086.5,435504.4,324574.4,0.075606
17,147415.2,265888.5,492383.6,590276.9,401355.0,51421.24,346435.7,231611.0,0.07801800000000002
18,61497.05,173041.5,478225.9,566429.1,375077.7,-12439.12,263828.5,135679.8,0.082059
19,-2660.092,94249.8,466141.8,551681.0,350800.2,-60346.64,186909.6,58852.3,0.08206300000000001
20,-37750.59,43946.05,439520.7,526260.6,336949.5,-85034.65,133628.9,13459.27,0.09560600000000002
21,-58153.82,16495.22,409976.0,494997.2,323435.1,-96804.66,109447.0,-12773.0,0.09864300000000002
22,-75820.12,-3000.527,393575.3,474457.1,301616.9,-108010.1,95589.66,-34339.94,0.09864600000000003
