,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,43781.0,24393.79,-45766.0,-55966.26,61526.19,55820.38,-28677.43,59835.93,0.0
1,163459.5,87192.54,-157481.2,-213664.8,244614.7,208986.6,-129809.6,226098.1,0.014449
2,284323.6,143236.6,-215641.7,-357794.0,471058.2,336058.2,-290320.3,406847.8,0.017024
3,342114.6,146607.3,-114695.0,-352534.6,643291.6,293216.5,-461519.2,514061.9,0.019445
4,354887.5,92846.53,112611.3,-201729.2,729156.8,62988.39,-602117.6,542956.8,0.023016000000000002
5,370996.6,23012.87,361700.8,4002.757,726762.7,-244541.1,-655181.5,530261.0,0.038023
6,432150.1,-13983.97,539790.1,166599.7,678132.2,-371147.9,-514399.9,533352.1,0.041058000000000004
7,531107.1,36082.24,620121.4,250773.7,635703.4,-160409.0,-142610.9,570126.6,0.041062
8,616700.1,208378.0,640971.6,312025.2,608955.2,227932.8,308454.8,609141.0,0.043015000000000005
9,645452.9,427434.5,656262.9,418954.9,576464.9,558978.1,668246.8,611886.3,0.045445000000000006
10,624389.8,596836.9,672706.3,559014.5,537400.3,728086.3,864346.1,580804.1,0.049437
11,594479.3,689687.1,659483.4,663531.6,512374.9,752004.3,894106.3,552150.2,0.063488
12,574085.8,708125.1,616673.8,698030.8,501995.0,715927.0,832101.9,538116.7,0.06349500000000001
13,548086.4,673382.9,582154.3,693020.2,484488.6,678073.9,771520.6,517048.3,0.066058
14,510815.4,625393.6,569512.3,683163.9,454424.3,631923.4,735381.1,481458.7,0.06606100000000001
15,477496.1,588113.5,551871.3,661410.3,429668.7,558297.1,689031.3,446390.8,0.07248700000000001
16,445687.9,545372.9,516108.8,618468.2,416997.8,471713.4,618823.4,408342.3,0.07249300000000002
17,389220.6,474265.2,485192.2,576728.4,401355.0,391837.4,546571.6,343710.1,0.08544400000000002
18,301412.2,384608.3,473268.1,556417.6,375077.7,310348.3,478267.6,249698.7,0.08847500000000003
19,210905.1,302215.6,460909.4,542956.3,350800.2,222189.5,395910.8,157727.4,0.08847900000000003
20,145835.0,236662.7,432590.0,516011.8,336949.5,152157.3,307081.9,96315.7,0.10248000000000003
21,104477.0,184801.5,403358.3,484357.9,323435.1,119296.9,247938.6,59789.29,0.10248600000000004
22,72287.17,148159.6,388756.7,465673.8,301616.9,106035.6,226667.4,30065.64,0.10553800000000003
23,47455.73,128356.3,377492.5,453679.8,279253.8,86927.88,210825.5,6454.476,0.10554100000000004
24,33870.17,115531.9,354551.3,431757.4,264796.8,64514.52,180774.0,-4699.293,0.10554400000000004
25,24907.11,98348.1,327940.8,403194.6,252534.5,53711.75,154218.0,-10793.13,0.10943600000000003
26,10579.92,78481.8,311744.0,382913.7,234475.0,49590.13,144816.1,-23870.06,0.12043700000000004
27,-7467.241,63315.59,300821.8,370126.2,214533.2,36379.43,135805.0,-41612.29,0.12411900000000005
28,-21167.74,51397.38,282400.8,351999.7,199989.6,16031.68,112431.3,-53880.22,0.12412200000000004
29,-30535.97,36392.87,259238.2,327541.3,188415.5,3153.942,87797.97,-60910.75,0.12412400000000004
30,-41875.87,19448.36,242534.9,307490.1,173392.8,-1386.191,76767.77,-70801.63,0.12702100000000005
31,-55726.29,6507.614,231401.0,294116.7,156150.0,-9913.15,70104.71,-84137.19,0.13043000000000005
32,-66826.22,-2748.161,216332.5,278760.3,142127.6,-24885.95,54013.14,-94141.35,0.14302100000000004
33,-73985.84,-13477.32,196814.9,258335.8,130988.1,-36055.43,34701.42,-99399.91,0.15053600000000003
34,-81383.72,-25958.35,180591.3,239490.3,118291.3,-39882.12,24534.49,-105349.2,0.15054
35,-90742.87,-35968.34,169115.9,225670.3,103741.1,-44720.34,19616.24,-114068.5,0.15054200000000004
36,-99157.71,-43059.06,156355.4,212063.9,90769.97,-54973.56,8986.55,-121649.8,0.15347900000000003
37,-104882.1,-50829.38,140304.9,195214.8,80039.58,-64340.72,-5535.455,-125911.8,0.15348500000000004
38,-109881.0,-59980.55,125375.1,178296.1,69051.38,-68158.61,-14785.82,-129574.2,0.16701800000000003
39,-115900.7,-67656.86,113103.1,163767.1,56292.19,-70967.2,-19206.24,-134839.3,0.17553500000000002
40,-121936.5,-73180.35,99206.41,148467.4,42042.7,-77458.67,-26280.81,-140165.0,0.17553900000000003
41,-126543.1,-78881.45,81098.11,129320.5,26647.6,-84769.33,-36620.6,-143663.1,0.17554100000000003
42,-130038.1,-85439.88,61121.98,107719.5,9908.584,-88566.76,-44508.85,-145994.2,0.17800700000000003
43,-133554.2,-91071.45,42089.78,86704.27,-7725.8,-90359.11,-48815.78,-148681.0,0.180433
44,-137399.0,-95270.71,24398.61,67505.58,-24905.63,-93979.73,-53707.89,-151847.5,0.18443
45,-140929.6,-99467.63,7365.747,49472.84,-40738.52,-99107.26,-60573.68,-154536.7,0.19543200000000002
46,-143466.3,-104036.5,-9213.605,31752.79,-55139.63,-102648.2,-66729.42,-156127.7,0.202467
47,-145203.7,-107892.8,-24929.36,14491.29,-68342.88,-104073.3,-70919.12,-157039.3,0.202471
48,-147114.9,-110900.1,-39071.21,-1214.718,-80845.49,-105707.2,-74632.83,-158276.2,0.204427
49,-149538.7,-113963.4,-51566.33,-14913.01,-92990.19,-108738.5,-78837.55,-160047.8,0.207011
50,-151429.1,-117049.7,-63647.95,-27983.45,-104260.5,-111716.4,-83082.39,-161212.9,0.20942499999999997
51,-152006.5,-119423.8,-76230.0,-41774.26,-114086.4,-113092.9,-86929.53,-161018.2,0.21847199999999997
52,-152326.8,-121346.7,-88081.66,-55133.14,-123199.2,-113504.4,-90095.95,-160644.0,0.21847799999999998
53,-153626.3,-123517.8,-97729.5,-66150.84,-132623.1,-114687.9,-92443.5,-161394.9,0.22043399999999996
54,-155005.6,-125528.4,-106397.1,-75765.68,-141692.8,-116820.9,-94809.15,-162241.0,0.22943499999999997
55,-154890.5,-126712.3,-116173.4,-86452.43,-149091.4,-118219.9,-98017.02,-161451.3,0.23246999999999998
56,-153990.2,-127647.2,-126094.2,-97707.36,-155427.3,-118021.6,-100957.7,-159845.5,0.23247599999999996
57,-154188.4,-129062.2,-133648.8,-106722.1,-162356.5,-117736.8,-102168.4,-159537.7,0.23700899999999997
58,-155076.9,-130294.2,-139523.3,-113583.2,-169499.7,-118848.2,-102870.9,-160045.7,0.27443399999999996
59,-154587.8,-130560.8,-146635.2,-121389.7,-175023.1,-120180.9,-105170.8,-159015.0,0.28004399999999996
