,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,21517.73,-40596.63,-54397.18,61526.19,61526.19,-20210.54,19442.63,0.0
1,244614.7,78456.34,-147649.5,-214085.7,244614.7,244614.7,-106134.3,66362.15,0.015452
2,467024.9,136538.7,-220470.9,-375806.4,471058.2,471058.2,-267378.2,116744.0,0.018021000000000002
3,625243.4,171287.3,-147500.3,-398239.3,643291.6,629805.6,-454410.4,182063.4,0.020432000000000002
4,692037.3,188310.3,62269.16,-262868.5,729156.8,676174.3,-608158.9,285756.7,0.023015
5,676360.7,197877.8,317039.8,-51192.03,726762.7,638885.9,-656656.3,416918.3,0.027023
6,627575.6,225794.9,519844.8,128165.6,678132.2,593081.9,-477546.7,548471.9,0.035449
7,600296.4,310834.1,625777.9,227021.9,635703.4,580907.4,-60939.0,644831.6,0.040067
8,594888.6,446012.3,656180.6,291969.3,608955.2,591544.9,395469.5,682999.3,0.040073
9,578452.8,568871.7,664713.5,393076.0,576464.9,587624.3,724643.4,670109.8,0.052065
10,546868.9,640892.5,672984.4,532992.0,537400.3,556857.9,881807.0,635327.8,0.052071
11,523337.6,662828.5,659698.0,650132.6,512374.9,527100.2,884048.6,602987.8,0.055058
12,512446.7,645168.6,620559.8,699947.4,501995.0,513591.3,814012.1,574532.9,0.055062
13,494017.7,607399.6,586450.3,703315.9,484488.6,486390.3,755637.6,543359.4,0.057015
14,454128.7,569253.1,571746.6,695894.7,454424.3,416544.4,714799.4,510353.5,0.065453
15,396111.5,527768.3,554690.9,675583.1,429668.7,322263.9,647764.5,471305.3,0.06802000000000001
16,325720.4,463730.9,521609.5,633683.7,416997.8,232726.1,549889.4,411119.8,0.07043200000000002
17,238939.8,374914.0,490774.9,590523.1,401355.0,148409.2,456492.2,324131.8,0.07701500000000001
18,141339.7,279702.6,476389.9,567549.8,375077.7,64870.82,376783.6,225699.5,0.083487
19,60220.48,196634.6,463412.9,553377.9,350800.2,-2293.752,294216.8,140322.0,0.08349300000000001
20,12873.98,133435.2,436953.1,527474.6,336949.5,-38883.63,217009.4,80485.55,0.09402600000000001
