,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,37763.63,-38627.24,-52094.69,61526.19,61526.19,-16605.46,38242.05,0.0
1,244614.7,151784.0,-149146.0,-210053.8,244614.7,244614.7,-98960.3,150960.7,0.013130000000000001
2,471058.2,294340.1,-240594.0,-381463.5,471058.2,471058.2,-264554.9,296066.1,0.015435
3,643291.6,395033.0,-189144.1,-421689.3,643291.6,643291.6,-444299.3,419609.5,0.018005
4,729156.8,427521.1,13950.73,-292887.2,729156.8,729156.8,-516215.5,503571.7,0.022004
5,726762.7,421955.3,282028.8,-63211.87,726762.7,726762.7,-352240.8,556539.0,0.030433999999999996
6,678132.2,443265.7,508390.8,147720.9,678132.2,678132.2,33932.05,595645.6,0.03300499999999999
7,635703.4,510698.3,632109.6,263055.7,635703.4,635703.4,447411.2,625873.7,0.037004999999999996
8,608955.2,586668.1,668048.9,315781.2,608955.2,608955.2,726697.3,640176.8,0.048476
9,576464.9,626786.6,673166.4,388462.9,576464.9,564335.8,836784.3,626111.8,0.048482
10,533604.6,618968.6,677828.9,507831.7,537400.3,479125.7,823826.8,590856.4,0.051046
11,487106.9,589496.9,665415.5,625182.9,512374.9,372474.8,769187.3,559179.9,0.051049
12,425096.2,562839.4,627365.9,687877.9,501995.0,265009.7,713656.1,531390.1,0.053128
13,331911.4,524231.3,591063.6,701542.9,484488.6,157378.8,637980.5,476656.3,0.062006
14,219583.3,448712.8,574326.9,696362.6,454424.3,60566.42,528413.5,383555.3,0.082473
15,122123.7,347223.8,558730.1,676541.7,429668.7,-4417.442,411135.5,276472.0,0.082479
16,55739.37,248268.7,527625.3,637696.1,416997.8,-39650.91,312074.0,178993.7,0.084424
17,4469.013,160997.2,495724.7,596034.3,401355.0,-69010.09,228436.3,94390.36,0.08942399999999999
18,-45847.72,81871.46,479380.7,570178.6,375077.7,-101659.6,151658.1,21070.25,0.092002
19,-85231.28,16659.92,466999.6,553348.6,350800.2,-124203.3,90790.27,-34243.98,0.094426
20,-103201.1,-24353.19,442216.2,528836.2,336949.5,-130875.0,56075.15,-67029.59,0.097005
21,-110597.5,-45136.42,413082.1,499195.2,323435.1,-134918.2,37791.7,-85308.31,0.099423
22,-121195.6,-59439.42,395016.1,477884.7,301616.9,-144261.7,20493.32,-99094.57,0.102002
23,-130976.1,-72370.38,382883.6,463310.9,279253.8,-149947.6,4515.301,-109147.4,0.104423
24,-131700.3,-80284.84,362558.3,443010.4,264796.8,-146459.7,-3018.77,-113681.5,0.11300800000000001
25,-129247.6,-84141.89,336762.8,416600.1,252534.5,-143107.8,-6475.796,-116833.6,0.11604700000000001
26,-133406.6,-90364.28,318117.7,394823.3,234475.0,-147000.4,-15401.06,-123255.2,0.11605100000000002
27,-141062.7,-100098.8,305873.5,379523.8,214533.2,-151437.0,-28157.04,-130901.7,0.11800200000000001
28,-143463.7,-108078.9,289089.2,361880.4,199989.6,-149656.9,-36198.14,-135626.6,0.12042600000000002
29,-141922.0,-112287.8,266998.4,339202.5,188415.5,-146511.2,-39534.86,-138343.9,0.12442100000000002
30,-143796.2,-116518.1,248775.7,318550.2,173392.8,-148128.0,-45321.96,-142312.0,0.13447000000000003
31,-148828.8,-122786.5,236006.2,302833.0,155871.9,-151031.1,-54393.36,-147049.5,0.134475
32,-150841.1,-128255.9,220055.1,285404.1,140057.9,-149732.1,-60734.82,-149891.7,0.14004000000000003
33,-149255.5,-130969.2,196878.9,261393.8,124117.0,-146536.8,-62896.43,-150992.3,0.140043
34,-149083.1,-133007.0,172100.1,234611.8,103532.4,-146199.1,-65874.84,-152543.4,0.142
35,-151528.2,-136309.9,149684.8,209522.9,79193.13,-147383.7,-71684.18,-154771.6,0.158006
36,-152821.5,-139648.8,126888.3,185073.6,56021.2,-146211.0,-76523.3,-156148.4,0.16153399999999998
