,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,42374.43,24135.25,-43130.92,-55657.39,61526.19,55799.42,-26199.35,61526.19,0.0
1,155529.0,83877.58,-146022.0,-210739.0,244614.7,208033.5,-122861.4,233834.8,0.002032
2,266174.4,125507.5,-193677.2,-348647.3,471058.2,333935.6,-282844.8,422991.4,0.004608
3,318916.7,108032.5,-88954.13,-337530.1,643291.6,289720.5,-457272.5,535342.5,0.008018
4,335604.3,52419.29,133666.7,-185889.9,729156.8,56081.78,-601239.7,562357.8,0.012029
5,360383.9,6456.197,372796.1,15952.65,726762.7,-258232.5,-661876.1,541762.0,0.026069
6,430188.4,-8067.831,540874.1,171234.7,678132.2,-396965.2,-535088.1,536186.4,0.026075
7,534356.7,31481.82,616176.9,247134.4,635703.4,-195398.4,-172581.1,567512.1,0.028018
8,620807.2,171429.4,637126.2,304518.0,608955.2,197095.6,281253.1,604857.1,0.030596
9,648846.8,374308.3,653644.1,412727.3,576464.9,541125.6,650692.9,607978.8,0.033025
10,628087.3,553263.1,669938.1,555282.4,537400.3,723984.3,858475.9,577145.4,0.037673000000000005
11,598561.0,672274.7,656292.3,661594.7,512374.9,757473.7,897614.9,548496.6,0.037678
12,577157.8,716658.1,613869.4,697195.8,501995.0,724126.6,838271.5,535085.2,0.050604
13,549967.9,689313.8,579589.5,692434.9,484488.6,684841.4,775602.4,514870.2,0.053644000000000004
14,512991.9,635337.9,566362.8,682054.2,454424.3,639821.5,738487.6,479335.3,0.05364900000000001
15,482684.1,599785.3,548273.1,659841.3,429668.7,572236.0,695857.1,445549.4,0.066067
16,456697.6,570300.9,512952.8,616997.7,416997.8,491196.9,632569.6,412588.2,0.066073
17,406113.0,507017.5,482566.7,575435.4,401355.0,413178.5,566030.1,354160.6,0.06863600000000002
18,322047.2,414410.6,470441.3,554944.9,375077.7,331416.9,501358.0,263435.1,0.068639
19,231834.1,329662.8,457725.9,541306.1,350800.2,241200.0,420312.9,170831.5,0.077674
20,163020.2,265646.7,429671.8,514564.7,336949.5,167044.4,328204.7,106322.4,0.07767700000000001
21,116575.9,211010.8,400909.8,483171.0,323435.1,129806.2,262816.3,66588.89,0.086063
22,81479.14,166192.0,386250.2,464412.9,301616.9,114298.7,237511.9,34773.07,0.086069
23,56059.61,142295.9,374678.4,452251.9,279253.8,94903.81,221354.7,10042.21,0.09506300000000001
24,41816.66,132378.4,351853.6,430439.6,264796.8,72140.5,191120.4,-1754.658,0.09507
25,31453.04,116763.4,325627.1,402089.3,252534.5,60344.25,162528.8,-8176.592,0.097642
26,16478.83,92959.22,309484.3,381785.2,234475.0,55743.88,151641.1,-21292.44,0.09764700000000001
27,-1137.682,74691.98,298345.8,368862.3,214533.2,42833.17,143239.1,-39044.25,0.105603
28,-14874.95,64649.92,279953.2,350794.9,199989.6,22397.34,120322.9,-51563.45,0.11005600000000001
29,-25321.77,51365.48,257076.9,326510.3,188415.5,8638.645,94261.23,-58984.8,0.11006000000000002
30,-37507.17,31769.56,240488.1,306475.2,173392.8,3416.457,81680.7,-69131.88,0.115598
31,-51284.85,15763.3,229232.2,293006.4,156150.0,-5096.237,75087.03,-82604.32,0.13460500000000003
32,-62382.52,7162.721,214150.3,277679.4,142127.6,-20127.69,59381.38,-92858.14,0.13812100000000002
33,-70301.62,-2048.038,194823.8,257387.5,130988.1,-31923.81,39144.49,-98486.37,0.138125
34,-78450.55,-15993.39,178731.4,238576.8,118291.3,-36341.98,27689.94,-104694.6,0.138127
35,-87869.78,-28510.54,167217.1,224698.1,103741.1,-41256.06,22614.76,-113510.6,0.14059400000000002
36,-96228.62,-35710.28,154438.5,211107.8,90769.97,-51528.8,12308.55,-121242.1,0.14302700000000002
37,-102432.1,-42385.62,138500.6,194354.9,80039.58,-61311.08,-2743.639,-125801.5,0.145602
38,-108049.4,-52205.13,123687.4,177474.7,69051.38,-65610.84,-12976.75,-129721.5,0.148013
39,-114240.0,-61709.02,112086.6,163611.2,56976.38,-68567.7,-17684.21,-135080.1,0.152013
40,-120249.0,-67774.85,100463.4,150689.2,45069.23,-75098.71,-24563.64,-140489.3,0.167639
41,-125136.2,-72907.69,85803.09,135033.4,33089.66,-82679.9,-35184.24,-144207.7,0.16764500000000002
42,-129086.0,-79698.17,68929.52,116443.1,19337.95,-86836.41,-43755.04,-146775.8,0.178127
43,-132818.8,-86472.47,51716.56,97113.52,3412.335,-88806.04,-48384.66,-149557.6,0.178133
44,-136694.0,-91336.38,34375.84,78185.75,-13502.79,-92508.95,-53231.62,-152766.3,0.17813500000000002
45,-140386.9,-95460.8,16696.12,59494.09,-30036.56,-97827.3,-60265.41,-155610.1,0.181061
46,-143225.4,-100131.1,-699.01,40941.5,-45292.8,-101619.8,-66854.08,-157412.3,0.181068
47,-145181.9,-104564.5,-16985.55,23051.15,-59129.57,-103220.0,-71326.5,-158425.2,0.18302100000000002
48,-147191.5,-108140.3,-31661.26,6769.382,-72236.54,-104978.9,-75113.7,-159677.6,0.18702000000000002
49,-149726.6,-111513.8,-44828.0,-7584.489,-85075.99,-108160.1,-79454.75,-161540.1,0.198024
50,-151789.8,-114777.8,-57470.5,-21202.12,-96906.19,-111291.7,-83937.52,-162875.6,0.201058
51,-152549.0,-117325.4,-70310.46,-35300.31,-107046.8,-112806.6,-87973.62,-162780.7,0.201064
52,-153020.5,-119578.4,-82377.02,-48935.34,-116471.8,-113372.8,-91286.13,-162407.8,0.20301
53,-154425.8,-122279.0,-92472.91,-60399.62,-126377.8,-114701.7,-93794.71,-163198.5,0.214604
54,-155882.2,-124646.9,-101643.0,-70492.09,-135926.7,-116921.0,-96273.52,-164173.8,0.222636
55,-155883.2,-125767.6,-111689.6,-81484.63,-143634.6,-118404.5,-99555.6,-163485.1,0.222642
56,-155151.4,-126724.1,-121775.3,-92973.4,-150245.6,-118361.6,-102659.2,-161884.6,0.22701999999999997
57,-155463.6,-128712.4,-129683.5,-102353.9,-157579.0,-118223.4,-104071.8,-161583.0,0.23004899999999998
58,-156359.8,-130503.4,-136023.9,-109648.8,-165151.9,-119372.2,-104819.6,-162175.3,0.23005199999999995
59,-155909.8,-130638.5,-143418.3,-117754.6,-170971.1,-120727.3,-107077.6,-161230.5,0.23200699999999996
60,-154318.5,-130434.1,-151662.4,-127169.6,-175298.6,-120479.0,-109997.7,-158799.2,0.234593
61,-153642.4,-131663.8,-157931.9,-134929.5,-180317.9,-119313.7,-110880.6,-157469.0,0.23701499999999998
62,-153993.4,-133063.3,-162062.1,-140091.1,-186111.2,-119373.3,-110295.6,-157607.9,0.24559799999999998
63,-153297.5,-132598.4,-167053.2,-145648.7,-190468.3,-120446.9,-111389.4,-156607.7,0.250047
64,-151155.4,-131429.2,-173548.8,-153061.5,-193033.3,-120220.7,-114015.3,-153715.3,0.25005099999999997
65,-149620.1,-131849.8,-178563.8,-159498.6,-196047.6,-118438.6,-114742.7,-151495.9,0.25301399999999996
66,-149397.4,-132906.8,-181050.5,-163097.3,-200211.8,-117488.1,-113258.2,-151099.4,0.268017
67,-148549.3,-132127.2,-183946.5,-166497.5,-203392.8,-118109.5,-113174.1,-150117.5,0.271053
68,-146121.2,-130235.0,-188750.0,-171979.8,-204632.3,-117982.5,-115330.4,-147068.5,0.271059
69,-143915.6,-129858.5,-192731.3,-177243.7,-205960.9,-115940.4,-116095.9,-144160.8,0.273005
70,-143129.8,-130571.3,-194048.0,-179726.1,-208629.1,-114161.2,-114127.3,-143183.0,0.27801
71,-142164.6,-129678.9,-195207.2,-181390.6,-210821.9,-114210.0,-112977.0,-142207.3,0.28058999999999995
72,-139644.4,-127313.2,-198400.3,-185065.2,-211095.8,-114155.3,-114494.6,-139218.2,0.28300699999999995
73,-136955.3,-126196.7,-201462.5,-189222.8,-211067.5,-112118.3,-115342.5,-135843.6,0.29458999999999996
74,-135630.1,-126523.3,-201974.4,-190909.4,-212381.7,-109741.9,-113234.4,-134283.1,0.29762199999999994
75,-134538.1,-125626.2,-201766.0,-191246.7,-213700.6,-109163.4,-111221.0,-133254.9,0.297627
76,-132058.0,-123011.1,-203464.3,-193283.9,-213277.5,-109089.1,-111983.1,-130461.0,0.2995799999999999
77,-129072.9,-121249.6,-205650.2,-196356.8,-212202.6,-107215.8,-112853.0,-126844.0,0.3136289999999999
78,-127263.4,-121137.2,-205611.3,-197450.3,-212320.6,-104479.0,-110852.6,-124754.3,0.3136349999999999
79,-126013.1,-120269.7,-204390.5,-196830.0,-212840.0,-103286.1,-108231.0,-123603.6,0.3155809999999999
