,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
59,-152859.5,-127949.5,-152979.6,-125918.6,-182753.7,-141987.6,-98037.7,-147418.6,0.25105400000000005
60,-150030.0,-127472.5,-160318.3,-134555.6,-186191.9,-138807.0,-100088.0,-145305.6,0.25106100000000003
61,-148249.1,-127545.3,-166050.3,-141762.9,-190346.9,-136438.6,-100209.7,-143966.9,0.253006
62,-147683.5,-127543.5,-169610.8,-146313.0,-195320.6,-135477.9,-99210.01,-143250.1,0.26701300000000006
63,-146024.4,-126704.6,-173696.4,-151079.7,-198896.2,-133747.6,-99905.84,-141634.5,0.27153900000000003
64,-142801.7,-125623.1,-179320.1,-157788.8,-200696.9,-130374.2,-101789.7,-139055.1,0.27154500000000004
65,-140352.5,-125153.0,-183863.8,-163757.6,-202965.2,-127482.6,-101770.0,-137097.5,0.271548
66,-139479.1,-124781.3,-185953.5,-166876.3,-206419.5,-126232.2,-100005.4,-136079.9,0.277476
67,-137914.2,-123601.2,-188104.6,-169610.4,-208928.2,-124631.8,-99786.83,-134435.2,0.27748199999999995
68,-134558.8,-122053.7,-192084.4,-174460.7,-209515.2,-121281.3,-101379.6,-131623.5,0.27902899999999997
69,-131563.2,-121109.9,-195623.7,-179319.1,-210204.6,-118004.5,-101424.1,-129166.0,0.293014
70,-130314.9,-120439.9,-196671.9,-181428.2,-212259.3,-116424.2,-99233.85,-127830.2,0.297468
71,-128858.1,-119051.7,-197246.8,-182541.8,-213871.6,-114942.9,-98157.96,-126208.7,0.29747500000000004
72,-125573.8,-117177.0,-199679.5,-185651.4,-213588.0,-111771.7,-99321.87,-123349.7,0.308473
73,-122193.9,-115827.6,-202307.1,-189449.8,-213015.7,-108263.2,-99500.46,-120526.2,0.308479
74,-120539.3,-114892.8,-202639.2,-190849.6,-213805.2,-106338.0,-97171.34,-118859.5,0.311046
75,-119152.3,-113378.1,-202003.4,-190746.8,-214627.5,-104921.3,-95368.87,-117257.4,0.31104899999999996
76,-116078.6,-111291.3,-203027.2,-192289.3,-213731.1,-102023.6,-95989.74,-114480.6,0.328471
77,-112494.7,-109608.0,-204778.8,-195038.2,-212195.7,-98444.38,-96278.73,-111434.7,0.32847699999999996
78,-110449.2,-108435.7,-204608.8,-195909.1,-211867.3,-96203.07,-94034.87,-109452.5,0.34053799999999995
79,-109070.2,-106852.6,-203097.8,-194947.4,-211964.8,-94784.32,-91693.82,-107840.9,0.3405439999999999
80,-106283.4,-104663.4,-202894.8,-195146.8,-210639.9,-92196.98,-91714.66,-105228.1,0.34054599999999996
81,-102674.1,-102742.0,-203799.7,-196868.4,-208421.8,-88697.3,-92039.97,-102108.8,0.3430099999999999
82,-100307.5,-101379.8,-203265.6,-197312.4,-207154.1,-86218.84,-90038.62,-99871.8,0.34800299999999995
83,-98886.0,-99778.81,-201174.3,-195791.9,-206582.6,-84756.15,-87379.91,-98229.3,0.35042699999999993
84,-96408.79,-97576.27,-199952.9,-194897.6,-204943.4,-82478.89,-86808.55,-95821.31,0.3530089999999999
85,-92910.89,-95491.27,-200036.4,-195626.5,-202268.3,-79171.5,-87061.58,-92747.63,0.3555649999999999
