,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,29776.68,-39063.24,-53143.33,61526.19,61526.19,-18939.0,29774.54,0.0
1,244614.7,112659.4,-148056.2,-213170.3,244614.7,244614.7,-106175.4,113908.3,0.013025
2,471058.2,205345.4,-233152.5,-385156.1,471058.2,471058.2,-273248.0,215333.6,0.015605
3,643291.6,267185.8,-173813.3,-422847.1,643291.6,643291.6,-462450.8,301625.9,0.021596
4,729156.8,293604.8,33099.43,-287706.4,729156.8,729156.8,-614027.3,374150.9,0.024014
5,726762.7,306863.7,295939.4,-53540.98,726762.7,726762.7,-616260.5,447659.4,0.026602
6,678132.2,356898.9,509105.2,155848.2,678132.2,678132.2,-347243.1,531962.1,0.029018000000000002
7,635703.4,458444.7,621419.9,270567.1,635703.4,635703.4,103160.1,608888.3,0.038021
8,608955.2,566597.8,654196.6,325724.5,608955.2,608955.2,521083.6,652968.6,0.042061
9,576464.9,632106.4,662696.1,400459.8,576464.9,576464.9,787640.9,652310.0,0.042066
10,537400.3,644291.1,672719.6,519787.8,537400.3,537274.4,881933.1,620353.8,0.045593
11,512374.9,624697.1,663770.3,633416.0,512374.9,500471.6,851148.3,586504.4,0.054021
12,495207.1,597159.6,626570.1,689930.2,501995.0,447530.1,784312.3,562418.5,0.058636
13,449522.9,565841.8,590535.9,698958.6,484488.6,357239.1,729442.8,531713.1,0.05864
14,364411.0,518147.6,574485.1,693014.3,454424.3,241799.8,661611.6,475685.4,0.074018
15,267270.4,446385.1,558960.9,674119.9,429668.7,137044.9,557053.5,397236.7,0.07705200000000001
16,179623.8,358778.9,526953.1,635014.3,416997.8,62951.85,442383.3,308583.4,0.07705600000000001
17,99339.75,265159.9,494499.4,592604.3,401355.0,6739.63,348862.8,213695.8,0.07902100000000002
18,24994.29,172683.2,478643.5,567441.5,375077.7,-46088.04,270952.9,119944.4,0.08159100000000001
19,-31212.91,94518.05,466713.6,551916.4,350800.2,-87542.63,195348.6,45540.49,0.08401100000000002
20,-62659.3,41830.84,441541.5,527319.1,336949.5,-107255.2,135050.6,-121.796,0.08801
21,-80276.7,10972.43,411992.8,496701.6,323435.1,-114936.6,105820.7,-27592.95,0.09705899999999999
22,-95106.57,-9457.846,394275.0,475438.6,301616.9,-124856.8,94721.21,-48864.26,0.097065
23,-105147.9,-24382.44,382611.2,461789.0,279253.8,-134659.7,79138.38,-63154.2,0.099011
24,-107684.2,-33649.66,362082.1,441603.4,264796.8,-136207.2,59373.47,-68820.38,0.105598
25,-109540.8,-40563.42,335877.3,414438.7,252534.5,-134033.1,48745.72,-73592.13,0.114636
26,-116739.7,-50055.9,317383.5,392523.8,234475.0,-137700.0,44767.91,-83892.66,0.11464099999999999
27,-125196.2,-61599.33,305545.3,377936.9,214533.2,-145253.2,34002.97,-95288.59,0.11704899999999999
28,-129375.9,-71072.47,288710.4,360578.8,199989.6,-148258.3,16935.76,-101832.3,0.11705199999999999
29,-131696.1,-78004.48,266284.4,337391.9,188415.5,-147017.9,5709.363,-106262.8,0.12559199999999998
30,-136644.9,-85385.32,248084.0,316499.3,173392.8,-148480.8,1707.025,-113580.3,0.128016
31,-142549.5,-93727.58,235872.7,301551.1,156150.0,-153233.4,-5186.148,-121800.4,0.131631
32,-145571.0,-100545.9,221654.1,286291.9,142127.6,-155564.3,-17314.07,-126437.4,0.146059
33,-146682.8,-105170.7,202608.1,266493.1,130654.6,-154219.0,-26401.16,-128728.8,0.146065
34,-149068.0,-109657.6,183790.3,245460.1,116077.6,-153727.7,-29609.05,-132658.3,0.148007
35,-152377.3,-114921.1,166760.2,225699.2,96819.33,-155830.7,-33678.22,-137762.8,0.151045
36,-154255.6,-119540.4,146887.8,204241.8,76360.13,-157243.1,-41856.21,-140846.8,0.15104800000000002
37,-154788.9,-122692.4,122335.5,178801.2,56489.11,-156119.1,-49026.96,-142017.6,0.153004
38,-155673.4,-125418.3,97642.18,152516.1,36078.92,-154710.0,-52002.93,-143881.4,0.16159199999999999
39,-157013.3,-128522.8,76638.4,129324.8,15382.56,-154833.4,-54598.31,-146673.0,0.170642
40,-157786.8,-131400.6,57756.0,108796.0,-3620.711,-155203.9,-59833.63,-148467.6,0.170646
41,-157916.2,-133432.4,38473.18,88515.92,-20349.94,-154261.3,-65099.19,-148941.2,0.17801499999999998
42,-157900.0,-134956.5,19538.87,68318.22,-35879.95,-152532.1,-67805.09,-149489.1,0.18058499999999997
43,-157735.0,-136451.9,2740.351,49691.96,-50801.14,-151236.0,-69653.15,-150491.7,0.18300499999999997
44,-157406.6,-137856.8,-12148.14,33072.96,-64892.08,-150483.7,-72763.23,-151094.4,0.18559099999999998
45,-157148.2,-138942.0,-26485.5,17516.23,-78058.66,-149527.7,-76205.3,-151041.3,0.20863199999999998
46,-156659.1,-139650.0,-40780.58,2103.625,-90249.33,-147838.7,-78477.01,-150810.1,0.208638
47,-155473.7,-140029.3,-54510.09,-13103.24,-101360.1,-145692.4,-80016.01,-150532.3,0.21168999999999996
48,-154147.6,-140256.3,-66921.55,-27173.68,-111847.6,-143915.9,-81744.48,-150080.1,0.21169699999999997
49,-153454.7,-140518.7,-77903.45,-39537.27,-122241.0,-142751.6,-83580.63,-149553.6,0.21169999999999997
50,-152731.1,-140634.5,-88397.55,-51106.02,-131954.2,-141254.7,-85221.86,-148873.7,0.21400699999999995
51,-150928.8,-140246.3,-99227.64,-63114.68,-140150.0,-138712.6,-86615.62,-147731.2,0.21658299999999994
52,-148760.7,-139537.8,-109555.8,-74931.18,-147545.6,-136080.8,-87534.55,-146371.2,0.21900299999999992
53,-147571.4,-139058.7,-118042.2,-84887.51,-155388.8,-134524.8,-88060.78,-145365.9,0.22158199999999995
54,-146719.3,-138714.9,-125396.4,-93346.11,-163054.4,-133219.4,-88924.56,-144429.0,0.22400799999999993
55,-144626.4,-137842.2,-133488.9,-102398.2,-169036.5,-130637.1,-90174.55,-142776.1,0.2280129999999999
56,-141820.1,-136452.0,-141958.9,-112132.9,-173889.8,-127406.9,-90699.59,-140699.1,0.23462999999999992
57,-140093.6,-135321.4,-148623.8,-120269.9,-179431.5,-125361.6,-90259.04,-139205.1,0.2346359999999999
58,-139116.4,-134575.9,-153518.5,-126328.1,-185346.9,-124154.8,-90278.05,-138089.0,0.24559499999999992
59,-136960.0,-133395.8,-159112.2,-132745.0,-189665.4,-121752.4,-91284.79,-136187.5,0.2486229999999999
60,-133746.6,-131539.7,-165831.9,-140493.6,-192500.8,-118194.1,-91673.02,-133601.5,0.2486279999999999
61,-131509.2,-129865.0,-171128.2,-147184.9,-195993.9,-115645.9,-90618.56,-131636.5,0.2505819999999999
62,-130383.9,-128762.5,-174177.1,-151451.5,-200344.4,-114414.7,-89834.97,-130356.6,0.26158999999999993
63,-128314.8,-127401.8,-177572.1,-155605.5,-203391.2,-112306.2,-90482.04,-128383.9,0.26401199999999997
64,-124917.0,-125273.8,-182600.5,-161446.5,-204681.6,-108680.8,-90858.24,-125491.8,0.26704599999999995
65,-122228.7,-123175.5,-186803.2,-166904.4,-206400.8,-105695.5,-89500.08,-123107.0,0.2670509999999999
66,-120896.9,-121746.2,-188530.8,-169873.3,-209322.0,-104322.4,-88034.29,-121653.8,0.26900099999999993
67,-118973.5,-120272.4,-190085.7,-172176.1,-211368.5,-102529.3,-88224.59,-119726.2,0.2780119999999999
68,-115583.8,-118024.0,-193495.5,-176223.3,-211526.6,-99057.14,-88616.46,-116725.0,0.28704999999999997
69,-112557.1,-115630.2,-196751.7,-180556.7,-211769.3,-95766.55,-87207.88,-114012.1,0.2870559999999999
70,-110985.8,-113910.7,-197567.8,-182594.4,-213380.0,-94172.85,-85239.3,-112367.1,0.2920459999999999
